,Episode,Time_step,Average Win Num,Average reward,Average Episode Length
0,8,806,0.125,183.9862149211729,40.0
1,16,1205,0.125,182.315090493792,49.875
2,24,1624,0.375,173.23480012305072,52.375
3,32,2084,0.25,146.03034976080482,57.5
4,40,2424,0.25,167.53984034007755,42.5
5,48,2683,0.0,116.7230429519904,32.375
6,56,3200,0.125,158.86622391219186,64.625
7,64,3574,0.125,179.2116042153059,46.75
8,72,3956,0.125,202.2763461205097,47.75
9,80,4401,0.125,165.12704034760498,55.625
10,88,4718,0.0,123.43063652789041,39.625
11,96,5047,0.125,174.0145742100595,41.125
12,104,5402,0.125,171.93081758290717,44.375
13,112,5656,0.0,149.5054286333936,31.75
14,120,6202,0.5,157.6700119062224,68.25
15,128,6691,0.5,152.67590136533425,61.125
16,136,6998,0.125,184.95633624749502,38.375
17,144,7363,0.25,162.1963991614127,45.625
18,152,7747,0.125,168.1946608348278,48.0
19,160,8163,0.25,177.52425795528845,52.0
20,168,8497,0.125,167.5177699519926,41.75
21,176,8905,0.125,178.72850577668177,51.0
22,184,9446,0.625,163.851949298791,67.625
23,192,9937,0.5,173.94196404888828,61.375
24,200,10345,0.125,156.05924166516803,51.0
25,208,10672,0.125,166.92124735215998,40.875
26,216,10984,0.0,150.53689817378984,39.0
27,224,11210,0.0,112.15057594591137,28.25
28,232,11688,0.25,171.64663165173113,59.75
29,240,12124,0.25,182.12712100458435,54.5
30,248,12578,0.25,167.93217642534958,56.75
31,256,12962,0.625,172.5859450482708,48.0
32,264,13370,0.375,183.27315476616585,51.0
33,272,13843,0.5,185.5334786803919,59.125
34,280,14135,0.125,181.50601609306165,36.5
35,288,14506,0.25,165.32784717657194,46.375
36,296,15043,0.375,179.218966437207,67.125
37,304,15482,0.375,164.8421645913457,54.875
38,312,15940,0.375,187.59123677250062,57.25
39,320,16384,0.375,177.59287418049522,55.5
40,328,16752,0.125,187.02822468221927,46.0
41,336,17163,0.125,184.94540655708778,51.375
42,344,17658,0.25,173.27875193332875,61.875
43,352,18126,0.25,179.44973925351348,58.5
44,360,18585,0.125,188.51231474314804,57.375
45,368,19130,0.5,186.7327088415773,68.125
46,376,19543,0.25,160.25277444416395,51.625
47,384,19873,0.375,205.70410275930897,41.25
48,392,20260,0.125,178.14189808572633,48.375
49,400,20586,0.125,168.69303996594894,40.75
50,408,20975,0.25,168.7836668919572,48.625
51,416,21419,0.5,184.7259917212785,55.5
52,424,21822,0.25,193.78330421800544,50.375
53,432,22227,0.0,173.81218970159154,50.625
54,440,22533,0.125,173.2540169379153,38.25
55,448,23082,0.5,168.66835199655642,68.625
56,456,23568,0.125,198.66195136593223,60.75
57,464,23996,0.25,189.22858289949113,53.5
58,472,24508,0.5,178.25600074904798,64.0
59,480,24839,0.125,179.6939439169112,41.375
60,488,25260,0.125,183.68584418075656,52.625
61,496,25828,0.625,145.82942758211823,71.0
62,504,26259,0.375,144.00214326675862,53.875
63,512,26855,0.75,200.69794013592195,74.5
64,520,27450,0.5,162.39724617298106,74.375
65,528,27855,0.25,185.64822786517976,50.625
66,536,28155,0.125,178.686715571648,37.5
67,544,28513,0.125,188.77757942163197,44.75
68,552,29043,0.625,181.04214347688782,66.25
69,560,29633,0.625,170.12244118117138,73.75
