,Episode,Time_step,Average Win Num,Average reward,Average Episode Length
0,8,668,0.125,206.26606058963102,38.125
1,16,965,0.0,168.84927230300866,37.125
2,24,1299,0.125,208.4520345339813,41.75
3,32,1568,0.0,137.7439854546971,33.625
4,40,1930,0.0,131.1500796229645,45.25
5,48,2280,0.0,183.12658313892348,43.75
6,56,2849,0.625,176.2242015889108,71.125
7,64,3154,0.0,140.02622025975037,38.125
8,72,3435,0.125,181.1737045889294,35.125
9,80,3702,0.0,113.84642898886852,33.375
10,88,4145,0.125,188.98881238903834,55.375
11,96,4508,0.25,166.15038370590867,45.375
12,104,4990,0.375,169.96874143007295,60.25
13,112,5359,0.25,168.73584145113347,46.125
14,120,5746,0.25,184.76623444645884,48.375
15,128,6205,0.25,183.0401585913749,57.375
16,136,6540,0.125,182.45419745457164,41.875
17,144,6939,0.375,203.2999898340555,49.875
18,152,7252,0.125,188.32880589582177,39.125
19,160,7487,0.0,112.26785087811271,29.375
20,168,7974,0.5,202.72487598956843,60.875
21,176,8496,0.375,168.41467471717274,65.25
22,184,8911,0.375,158.77703143419677,51.875
23,192,9282,0.125,187.89470408825147,46.375
24,200,9728,0.25,157.46779591989772,55.75
25,208,10148,0.25,172.6163585981933,52.5
26,216,10549,0.0,180.58297513675438,50.125
27,224,10996,0.375,185.45857814652558,55.875
28,232,11375,0.25,174.11420810246537,47.375
29,240,11758,0.25,172.9276497042125,47.875
30,248,12034,0.0,135.5413662433815,34.5
31,256,12532,0.75,189.86136752419574,62.25
32,264,12823,0.0,198.42690385517395,36.375
33,272,13326,0.25,166.28286865713034,62.875
34,280,13668,0.0,183.3192353285261,42.75
35,288,13953,0.0,163.59196657604627,35.625
36,296,14368,0.25,186.29598075176762,51.875
37,304,14796,0.25,175.75939185719295,53.5
38,312,15168,0.25,166.5806888201525,46.5
39,320,15589,0.25,183.10486157595443,52.625
40,328,15932,0.125,174.5076843366939,42.875
41,336,16345,0.375,185.53694607943703,51.625
42,344,16765,0.125,183.43810417420923,52.5
43,352,17001,0.0,107.55792024550317,29.5
44,360,17522,0.375,170.26285926061945,65.125
45,368,17977,0.125,211.60901376866587,56.875
46,376,18347,0.125,194.48282317676234,46.25
47,384,18620,0.125,187.03231976280625,34.125
48,392,18956,0.125,208.3563572571874,42.0
49,400,19345,0.125,194.66120976072477,48.625
50,408,19664,0.125,212.91675577287987,39.875
51,416,20164,0.375,161.868431838462,62.5
52,424,20536,0.25,207.0509699123619,46.5
53,432,21008,0.375,172.58523125727774,59.0
54,440,21415,0.25,186.96437094003903,50.875
55,448,21832,0.125,177.93254603409468,52.125
56,456,22391,0.375,181.04221734287756,69.875
57,464,22914,0.375,186.71135481954855,65.375
58,472,23356,0.25,186.53051300641744,55.25
59,480,23744,0.25,196.46559508898292,48.5
60,488,23950,0.0,99.18014173724544,25.75
61,496,24406,0.375,151.0595309225866,57.0
62,504,24800,0.25,196.1896672099276,49.25
63,512,25357,0.375,179.5671890516138,69.625
64,520,25829,0.375,180.05150585692405,59.0
65,528,26233,0.375,195.90573717181144,50.5
66,536,26725,0.25,186.57573867235374,61.5
67,544,27290,0.5,173.718174775924,70.625
68,552,27826,0.25,168.16693551722113,67.0
69,560,28252,0.375,201.05638126949572,53.25
70,568,28679,0.125,200.87969306898708,53.375
71,576,29121,0.375,171.89842839161614,55.25
72,584,29641,0.5,177.15710542044857,65.0
