Episode,Average Win Num,Average Survival Time,Average Speed
0,1.0,28.4,22.90858
1,0.0,49.0,24.5155
2,0.0,37.8,23.613016
3,1.0,29.0,22.02758
4,0.0,36.4,23.51344
5,0.0,48.2,23.595303
6,0.0,56.0,24.584852
7,1.0,37.0,22.946228
0,1.0,42.6,21.050613
1,0.0,50.2,24.36779
2,0.0,31.6,22.922367
3,0.0,42.8,24.119143
4,0.0,55.2,24.79506
5,0.0,57.4,24.722008
6,0.0,49.0,24.759115
7,0.0,56.4,24.469498
0,1.0,30.6,22.247475
1,1.0,51.4,23.379316
2,0.0,51.8,24.491367
3,0.0,49.4,24.525269
4,0.0,29.4,23.687208
5,0.0,42.4,23.43018
6,0.0,37.0,23.478783
7,0.0,45.8,23.977213
0,0.0,48.0,24.172192
1,0.0,49.2,24.316954
2,0.0,44.8,24.700054
3,0.0,39.0,23.021143
4,0.0,33.6,22.958405
5,0.0,49.6,24.62745
6,0.0,72.4,24.771296
7,1.0,34.8,22.206959
0,1.0,30.4,22.91795
1,0.0,63.6,24.309526
2,0.0,44.6,24.539402
3,0.0,50.8,24.70306
4,0.0,33.0,23.217373
5,0.0,43.0,24.398384
6,0.0,43.4,24.43571
7,0.0,40.6,23.778706
0,1.0,35.0,8.997412
1,0.0,49.6,16.195492
2,0.0,51.8,16.59769
3,0.0,63.4,18.602774
4,0.0,53.8,16.76439
5,0.0,63.4,18.423725
6,0.0,62.6,18.770397
7,0.0,56.2,16.417868
0,0.0,38.0,23.370136
1,0.0,44.0,24.37051
2,0.0,46.0,25.250837
3,0.0,47.0,24.282934
4,1.0,27.8,21.987982
5,1.0,39.8,23.084621
6,0.0,38.8,23.571726
7,0.0,36.4,23.59711
0,0.0,40.0,24.056755
1,0.0,36.4,24.12953
2,0.0,63.4,25.135029
3,0.0,51.2,23.923918
4,0.0,67.6,24.69137
5,0.0,43.6,23.564734
6,1.0,28.2,23.987638
7,0.0,39.8,24.273827
0,0.0,63.4,13.23956
1,0.0,82.2,16.85672
2,0.0,57.4,12.377532
3,0.0,49.8,10.623209
4,0.0,62.6,13.543188
5,0.0,60.2,13.176207
6,0.0,69.0,13.814028
7,1.0,46.0,7.4319983
0,2.0,38.4,20.933773
1,0.0,57.8,24.60738
2,0.0,37.8,23.980007
3,0.0,39.6,24.160915
4,1.0,28.4,24.508183
5,1.0,30.2,22.335222
6,0.0,43.6,24.037212
7,1.0,30.2,24.391195
0,0.0,45.2,24.232044
1,1.0,24.6,22.772524
2,0.0,43.0,24.442616
3,1.0,24.4,22.30157
4,2.0,54.2,24.149181
5,0.0,49.4,24.924988
6,0.0,30.6,23.560698
7,0.0,50.4,23.862814
0,1.0,25.0,21.872124
1,0.0,51.2,24.742008
2,0.0,44.6,23.831919
3,0.0,43.0,23.824694
4,0.0,39.2,23.191238
5,1.0,33.0,23.627163
6,0.0,55.4,23.98013
7,0.0,32.6,23.792412
0,0.0,57.4,24.051851
1,0.0,41.0,23.716297
2,0.0,53.2,24.420412
3,0.0,28.2,23.736423
4,0.0,33.4,24.117237
5,1.0,53.6,23.776003
6,0.0,58.6,25.0554
7,0.0,31.8,22.917645
0,0.0,40.4,24.611685
1,0.0,59.0,25.112858
2,0.0,41.4,24.46651
3,0.0,40.6,23.903513
4,1.0,25.6,20.859966
5,1.0,35.2,23.70449
6,0.0,56.0,24.625471
7,0.0,34.4,23.326956
0,0.0,69.8,24.860834
1,0.0,38.6,23.956633
2,0.0,40.0,24.193312
3,0.0,67.2,25.006113
4,0.0,45.6,24.228142
5,1.0,32.8,22.08518
6,0.0,44.4,23.39818
7,1.0,27.6,22.328575
0,0.0,57.6,16.440912
1,0.0,65.6,16.629827
2,0.0,55.8,14.928522
3,0.0,60.8,16.440466
4,1.0,48.2,12.70165
5,0.0,46.2,13.791806
6,0.0,54.4,14.388657
7,0.0,61.4,15.765597
0,0.0,60.2,24.640749
1,1.0,34.4,23.099003
2,0.0,43.2,24.819796
3,1.0,30.6,21.16089
4,0.0,49.8,24.701368
5,0.0,42.0,23.676035
6,0.0,35.4,23.593777
7,0.0,44.8,24.184727
