Episode,Average Win Num,Average Survival Time,Average Speed
0,0.0,30.0,23.939053
1,1.0,41.0,22.813778
2,0.0,37.0,23.657444
3,0.0,60.6,24.57081
4,0.0,57.4,25.441235
5,0.0,34.0,22.905298
6,0.0,46.6,23.525309
7,1.0,29.8,23.9802
0,0.0,60.6,24.981543
1,0.0,54.4,24.243404
2,0.0,34.6,24.28915
3,0.0,44.8,23.569561
4,0.0,49.4,24.646288
5,0.0,64.2,24.820301
6,0.0,42.2,24.255915
7,1.0,27.8,22.824322
0,0.0,47.6,23.826496
1,1.0,34.0,23.320322
2,0.0,36.2,23.480883
3,0.0,54.6,23.775684
4,0.0,49.2,24.031775
5,0.0,43.8,24.500843
6,0.0,40.4,24.165882
7,0.0,29.8,24.079718
0,0.0,43.2,24.451006
1,0.0,28.0,23.418066
2,0.0,48.4,24.949045
3,0.0,53.6,24.763859
4,1.0,35.4,21.828777
5,0.0,48.2,25.022264
6,0.0,32.6,23.67763
7,1.0,34.6,22.021748
0,0.0,67.0,17.685246
1,0.0,47.8,14.362211
2,0.0,63.0,17.170162
3,1.0,38.0,9.417076
4,0.0,55.6,17.212433
5,0.0,61.2,16.930283
6,0.0,54.0,16.316525
7,0.0,46.0,12.705984
0,0.0,40.0,23.928001
1,1.0,44.8,23.957657
2,0.0,29.4,22.8115
3,0.0,37.6,24.534624
4,0.0,44.4,23.058659
5,0.0,38.6,24.316652
6,0.0,36.6,24.405428
7,0.0,65.4,24.908237
0,0.0,58.2,15.244509
1,0.0,59.6,15.0592165
2,1.0,49.8,9.819359
3,0.0,59.8,15.935991
4,0.0,55.6,13.61143
5,0.0,71.8,17.431255
6,0.0,53.8,14.328952
7,0.0,53.4,13.560933
0,0.0,38.4,23.6524
1,0.0,49.0,23.919422
2,0.0,32.4,24.850239
3,1.0,35.2,22.703068
4,0.0,37.6,24.405855
5,0.0,43.6,24.502949
6,0.0,64.4,24.549301
7,0.0,43.8,24.00433
0,0.0,34.0,23.209332
1,0.0,42.6,23.690678
2,0.0,62.4,24.27227
3,0.0,52.6,24.348444
4,1.0,43.2,21.784664
5,0.0,37.2,24.19588
6,0.0,46.2,24.344643
7,0.0,76.8,24.617725
0,0.0,55.4,14.539246
1,0.0,60.6,16.320112
2,1.0,38.6,7.9557924
3,0.0,57.4,16.253836
4,0.0,56.4,14.12278
5,0.0,62.2,15.581891
6,0.0,54.6,14.887935
7,0.0,62.2,16.40101
0,0.0,60.0,24.980558
1,0.0,42.0,23.919657
2,0.0,54.2,23.710405
3,1.0,49.2,23.969715
4,0.0,61.2,24.41756
5,1.0,36.0,22.34785
6,0.0,40.2,23.782911
7,0.0,39.2,24.14439
0,0.0,63.6,24.858583
1,0.0,57.8,24.453873
2,2.0,41.6,20.16183
3,0.0,52.6,24.395855
4,0.0,44.0,23.557901
5,0.0,27.0,23.641636
6,0.0,55.4,24.410732
7,0.0,52.2,24.55151
0,0.0,46.8,25.018366
1,0.0,28.4,24.433527
2,1.0,28.0,22.96967
3,1.0,47.0,23.937065
4,0.0,31.4,23.01643
5,1.0,37.6,24.41396
6,0.0,59.6,24.580229
7,0.0,39.8,22.8397
0,0.0,36.2,24.026815
1,1.0,42.2,23.626408
2,0.0,42.4,25.10907
3,0.0,35.4,23.019705
4,0.0,50.4,24.532467
5,0.0,63.6,24.662544
6,1.0,26.2,22.20591
7,0.0,53.4,24.396711
0,0.0,43.4,24.09502
1,0.0,60.4,24.765863
2,1.0,31.0,22.710016
3,1.0,32.2,20.620703
4,0.0,54.0,24.695127
5,0.0,50.8,24.656715
6,1.0,41.4,23.869568
7,0.0,37.0,23.700481
0,0.0,40.0,24.616627
1,2.0,46.0,21.846766
2,0.0,41.0,24.225262
3,0.0,45.6,24.232296
4,1.0,46.2,22.764515
5,0.0,56.0,24.890806
6,1.0,46.2,23.346968
7,0.0,53.6,23.512243
0,0.0,62.0,18.922329
1,0.0,69.0,20.143467
2,0.0,39.8,14.07514
3,0.0,41.6,16.70516
4,0.0,53.0,16.467497
5,1.0,40.6,12.010534
6,0.0,51.8,17.255741
7,0.0,47.0,16.183466
0,0.0,38.0,23.795023
1,0.0,47.8,24.93806
2,1.0,27.6,22.887384
3,0.0,44.0,24.576738
4,0.0,34.0,23.906918
5,0.0,41.8,23.917934
6,0.0,39.8,24.259537
7,0.0,40.4,22.948933
0,0.0,43.6,24.315882
1,0.0,37.6,24.370451
2,1.0,33.0,24.469095
3,0.0,32.4,24.369719
4,0.0,37.2,23.38058
5,0.0,59.6,23.88053
6,0.0,67.4,24.635023
7,0.0,34.4,23.822254
0,1.0,27.4,22.828053
1,1.0,23.2,20.836937
2,0.0,62.6,24.619007
3,0.0,55.8,24.799051
4,0.0,78.4,24.820145
5,0.0,35.2,24.274473
6,0.0,57.6,24.32395
7,0.0,45.8,24.56422
0,0.0,56.8,21.775446
1,0.0,45.6,20.534714
2,0.0,59.2,21.69124
3,0.0,41.8,18.831722
4,0.0,60.0,21.224686
5,0.0,39.4,17.384317
6,0.0,57.6,20.944199
7,1.0,50.4,19.58501
0,0.0,78.0,11.787641
1,0.0,63.0,8.458879
2,0.0,64.4,9.098604
3,0.0,65.8,8.972339
4,0.0,68.6,10.239568
5,1.0,59.6,6.287567
6,0.0,64.2,8.844199
7,0.0,61.4,8.534069
0,0.0,65.4,24.573135
1,0.0,58.4,24.693277
2,1.0,29.6,22.98582
3,0.0,52.0,24.22593
4,0.0,31.8,23.12896
5,2.0,45.0,22.85226
6,1.0,34.6,22.61787
7,0.0,43.4,24.131681
0,0.0,44.4,24.56485
1,0.0,69.0,24.66142
2,0.0,52.4,23.799839
3,1.0,37.2,23.496553
4,0.0,26.8,24.180716
5,1.0,37.6,19.400152
6,0.0,54.4,23.698057
7,0.0,48.0,23.944202
0,2.0,42.8,23.100225
1,0.0,40.8,23.365738
2,0.0,48.6,24.40805
3,0.0,48.8,24.603739
4,0.0,39.8,23.71434
5,0.0,53.4,24.670156
6,0.0,41.2,24.090282
7,0.0,44.2,24.46175
0,0.0,65.8,16.100811
1,0.0,56.2,14.088417
2,0.0,69.0,15.955755
3,1.0,42.8,8.16668
4,0.0,57.2,13.558495
5,0.0,58.0,14.931557
6,0.0,58.8,14.967145
7,0.0,53.2,14.043245
0,0.0,40.6,24.015835
1,0.0,49.6,24.734772
2,0.0,64.6,24.64715
3,0.0,51.4,23.989826
4,0.0,32.4,24.122494
5,0.0,44.4,24.64365
6,0.0,51.0,23.46065
7,1.0,36.6,22.259207
0,0.0,63.0,24.539822
1,0.0,48.4,24.53587
2,0.0,43.8,23.505123
3,1.0,25.2,22.823713
4,0.0,46.2,23.759207
5,0.0,40.8,24.032757
6,0.0,45.2,24.189388
7,0.0,44.6,23.262417
0,0.0,54.0,24.574444
1,1.0,30.4,21.201313
2,0.0,47.6,23.59618
3,0.0,60.2,24.064627
4,0.0,63.2,24.048624
5,0.0,54.8,24.66779
6,0.0,43.8,24.48148
7,0.0,46.6,24.226263
0,0.0,36.4,24.553877
1,1.0,53.8,24.376286
2,0.0,35.2,24.348553
3,1.0,21.6,19.501728
4,1.0,27.0,22.27832
5,0.0,43.2,24.311893
6,0.0,61.8,24.586536
7,1.0,41.8,22.62547
0,0.0,64.4,9.737996
1,0.0,71.0,10.62602
2,0.0,73.2,10.728368
3,0.0,70.0,9.84036
4,1.0,65.0,8.667052
5,0.0,70.4,10.985606
6,0.0,67.2,9.852743
7,0.0,68.0,10.030821
0,0.0,60.2,24.48627
1,2.0,46.2,20.49837
2,1.0,26.0,24.685364
3,2.0,48.4,22.207516
4,0.0,35.8,24.099367
5,0.0,44.2,23.707062
6,2.0,56.0,24.636868
7,0.0,48.6,24.42685
0,1.0,32.2,24.246971
1,0.0,50.0,24.521938
2,0.0,37.2,24.34973
3,0.0,49.4,24.137386
4,0.0,37.4,24.355148
5,0.0,45.6,24.056118
6,0.0,54.4,25.03528
7,0.0,41.0,24.302317
0,0.0,47.0,24.431417
1,0.0,33.4,23.592884
2,0.0,43.4,24.798178
3,0.0,49.8,24.054562
4,1.0,57.4,25.223156
5,0.0,52.4,24.008493
6,1.0,33.8,23.137875
7,1.0,29.6,22.502024
0,0.0,40.2,23.783731
1,0.0,52.2,24.79183
2,1.0,34.6,24.200954
3,0.0,49.4,24.222239
4,0.0,46.0,24.445118
5,0.0,54.8,24.314121
6,0.0,46.4,23.969957
7,0.0,59.0,24.658594
0,0.0,33.2,24.156952
1,0.0,48.8,24.055878
2,0.0,60.4,23.816566
3,0.0,42.6,24.049555
4,1.0,25.0,22.907185
5,1.0,41.2,23.762758
6,0.0,57.0,23.805874
7,0.0,43.0,24.403046
0,0.0,44.6,23.856861
1,0.0,49.2,24.084156
2,0.0,51.6,24.368246
3,0.0,41.4,24.079819
4,0.0,47.0,23.941372
5,1.0,29.6,22.355959
6,0.0,40.0,23.550413
7,1.0,27.8,21.568151
0,1.0,54.4,11.711634
1,0.0,51.0,13.296239
2,0.0,45.2,10.863165
3,0.0,58.8,14.685657
4,0.0,62.4,16.500225
5,0.0,60.2,15.287676
6,0.0,42.2,10.574925
7,0.0,46.4,11.178065
0,0.0,54.2,24.340698
1,0.0,43.0,23.992727
2,1.0,36.8,22.740788
3,0.0,55.8,24.65368
4,0.0,35.0,23.763603
5,0.0,47.2,24.071276
6,0.0,53.8,24.250378
7,0.0,41.2,23.114185
0,1.0,30.0,23.162073
1,0.0,46.4,24.159937
2,0.0,50.4,23.68599
3,1.0,37.4,24.559912
4,0.0,40.0,24.810505
5,0.0,47.4,24.497278
6,0.0,45.6,24.111187
7,0.0,66.6,23.834213
0,2.0,43.6,22.640419
1,0.0,43.2,23.623726
2,0.0,49.4,24.090391
3,0.0,45.4,24.252148
4,1.0,39.4,22.371004
5,0.0,61.8,24.588673
6,0.0,60.2,23.438305
7,0.0,47.6,24.947733
0,0.0,45.8,24.250212
1,0.0,45.2,24.178804
2,1.0,30.6,23.938068
3,0.0,45.4,25.25369
4,0.0,73.0,24.581556
5,0.0,40.6,24.193213
6,0.0,39.6,23.980692
7,1.0,38.4,21.974781
0,0.0,44.6,24.48743
1,1.0,36.2,21.56578
2,0.0,34.4,23.226368
3,0.0,50.2,24.494698
4,0.0,42.8,23.953537
5,0.0,48.4,24.343288
6,0.0,32.2,22.77956
7,0.0,46.2,23.980482
0,1.0,26.6,22.149143
1,0.0,41.4,24.913467
2,0.0,49.2,24.38248
3,1.0,30.4,23.188978
4,1.0,43.8,23.655516
5,1.0,26.6,22.956045
6,0.0,56.2,24.326319
7,0.0,42.6,24.049809
0,1.0,27.0,23.064531
1,0.0,54.6,24.15024
2,0.0,39.0,23.976622
3,0.0,46.8,25.20881
4,0.0,29.4,23.703274
5,0.0,60.2,24.361582
6,0.0,44.2,23.394897
7,0.0,52.4,24.751183
0,0.0,41.8,23.490826
1,0.0,49.0,24.389086
2,1.0,29.2,23.445423
3,0.0,56.6,25.166983
4,0.0,56.4,24.820736
5,0.0,43.6,24.662724
6,1.0,42.0,23.73533
7,0.0,54.2,24.558727
0,1.0,27.2,22.092766
1,0.0,62.6,24.026524
2,0.0,49.2,24.356405
3,0.0,43.2,24.443172
4,0.0,36.2,23.482124
5,0.0,42.8,24.135689
6,0.0,49.8,24.318518
7,0.0,39.6,24.24199
0,1.0,39.0,24.203007
1,1.0,50.4,22.711163
2,0.0,43.6,24.19985
3,1.0,36.8,21.689363
4,1.0,35.0,18.274445
5,1.0,26.8,22.142904
6,0.0,48.2,23.921535
7,0.0,55.6,23.901768
0,0.0,67.0,24.567202
1,2.0,47.2,22.514193
2,0.0,38.2,23.740376
3,0.0,26.6,22.609898
4,0.0,53.8,24.38833
5,1.0,30.2,22.683855
6,0.0,45.6,25.161198
7,0.0,50.2,24.38402
0,1.0,31.4,21.91897
1,0.0,44.0,23.876118
2,0.0,26.6,23.199345
3,0.0,38.2,23.361744
4,0.0,54.2,24.505512
5,0.0,49.8,24.167856
6,1.0,32.6,23.093678
7,1.0,45.2,24.327436
0,0.0,48.4,24.111595
1,1.0,26.8,22.914673
2,0.0,42.6,24.274368
3,1.0,40.6,23.492094
4,0.0,57.6,23.627172
5,0.0,52.4,24.311565
6,0.0,38.0,24.23618
7,3.0,65.2,22.3612
0,1.0,40.2,22.574032
1,0.0,62.6,24.25529
2,2.0,43.8,22.72676
3,1.0,35.8,23.899029
4,0.0,38.4,24.359282
5,1.0,26.2,22.668386
6,0.0,46.8,23.59359
7,0.0,61.6,23.878653
0,0.0,33.0,22.684402
1,1.0,26.2,21.566212
2,0.0,41.2,24.267155
3,0.0,39.6,23.15984
4,0.0,45.0,23.868437
5,0.0,35.0,23.799438
6,2.0,67.6,22.896029
7,0.0,68.4,24.597967
0,0.0,30.0,20.836105
1,1.0,44.0,23.807583
2,1.0,42.6,22.570814
3,1.0,28.2,21.865582
4,1.0,31.8,22.461742
5,0.0,32.6,22.822393
6,0.0,35.4,22.847118
7,1.0,55.8,23.814203
0,0.0,37.6,24.337706
1,1.0,35.6,23.018576
2,0.0,57.2,23.819218
3,0.0,61.6,24.098366
4,1.0,52.0,25.163876
5,0.0,57.2,24.662561
6,0.0,54.6,24.24821
7,0.0,33.4,23.608057
0,0.0,44.2,24.246334
1,1.0,27.2,21.167707
2,0.0,49.2,23.49267
3,0.0,46.0,23.831516
4,1.0,37.0,21.23528
5,0.0,68.2,24.456757
6,0.0,46.6,24.412405
7,0.0,50.6,24.098316
0,0.0,52.4,23.931196
1,1.0,37.0,23.685234
2,1.0,34.0,21.384443
3,0.0,53.8,24.33273
4,0.0,45.4,24.2757
5,0.0,52.2,23.66875
6,1.0,36.4,23.247538
7,0.0,46.6,23.501568
0,1.0,44.8,23.081593
1,0.0,56.4,23.257145
2,0.0,32.0,21.924685
3,0.0,57.0,24.573442
4,1.0,40.6,22.73333
5,1.0,35.4,24.3051
6,1.0,38.6,22.792168
7,0.0,39.0,23.799517
