,Episode,Time_step,Average Win Num,Average reward,Average Episode Length
0,8,849,0.125,196.53979937843587,42.125
1,16,1299,0.25,175.22784373770207,56.25
2,24,1711,0.125,191.10656795157888,51.5
3,32,2075,0.0,180.32501208863755,45.5
4,40,2433,0.0,167.06375515193486,44.75
5,48,2790,0.25,163.66088977264792,44.625
6,56,3262,0.125,191.5128991544813,59.0
7,64,3506,0.0,146.16371491104331,30.5
8,72,3994,0.625,162.2952962208086,61.0
9,80,4455,0.5,166.34120901451323,57.625
10,88,4900,0.25,166.87157011039957,55.625
11,96,5340,0.125,186.92357679301597,55.0
12,104,5712,0.25,174.43465871873622,46.5
13,112,6092,0.25,188.68532808940387,47.5
14,120,6419,0.0,156.30119658424542,40.875
15,128,6834,0.25,177.03811592846242,51.875
16,136,7297,0.25,175.6184673174919,57.875
17,144,7592,0.125,194.51721440097222,36.875
18,152,8013,0.125,172.85983770682498,52.625
19,160,8454,0.25,169.03442975652214,55.125
20,168,8825,0.0,156.37048282261003,46.375
21,176,9171,0.125,173.66959381111934,43.25
22,184,9483,0.0,155.92198684234071,39.0
23,192,9782,0.125,177.0246003605533,37.375
24,200,10111,0.125,200.2086378208793,41.125
25,208,10403,0.0,151.16851739869728,36.5
26,216,10817,0.25,195.6335753050523,51.75
27,224,11108,0.25,201.59812516384758,36.375
28,232,11570,0.375,167.43593923588978,57.75
29,240,11982,0.25,182.67830119821582,51.5
30,248,12433,0.375,181.4995672765822,56.375
31,256,12983,0.5,195.6605677469462,68.75
32,264,13322,0.0,159.70627902533215,42.375
33,272,13696,0.125,164.6892631720692,46.75
34,280,14110,0.125,182.284831621227,51.75
35,288,14489,0.25,201.07227576631612,47.375
36,296,14885,0.0,190.49919680025218,49.5
37,304,15206,0.0,114.26045009231456,40.125
38,312,15691,0.5,189.85391388700288,60.625
39,320,16218,0.25,195.81910106054858,65.875
40,328,16592,0.25,189.719032622391,46.75
41,336,16858,0.0,147.78825019423456,33.25
42,344,17244,0.125,192.10718454739487,48.25
43,352,17548,0.125,185.30254501143048,38.0
44,360,17834,0.125,203.10784365604457,35.75
45,368,18324,0.5,168.06043972420656,61.25
46,376,18578,0.0,125.97398302490691,31.75
47,384,19046,0.875,192.92036918794062,58.5
48,392,19440,0.125,184.41513248603468,49.25
49,400,19973,0.25,183.21362258984414,66.625
50,408,20367,0.125,199.17980804671885,49.25
51,416,20726,0.25,184.79602185411,44.875
52,424,21144,0.25,173.07408054937514,52.25
53,432,21534,0.0,138.10943773556284,48.75
54,440,21847,0.125,188.97088176709826,39.125
55,448,22292,0.25,192.40026425666753,55.625
56,456,22757,0.375,205.22926852814194,58.125
57,464,23192,0.25,189.1292324596301,54.375
58,472,23556,0.125,173.3516095194139,45.5
59,480,24068,0.5,170.0192726542679,64.0
60,488,24439,0.125,184.60131830747457,46.375
61,496,24769,0.25,194.62244331048737,41.25
62,504,25145,0.125,181.9335793717599,47.0
63,512,25717,0.625,178.05043922826505,71.5
64,520,26069,0.375,186.16248672865905,44.0
65,528,26486,0.375,170.2547034015559,52.125
66,536,26998,0.625,199.10156756222665,64.0
67,544,27533,0.625,189.7236173462365,66.875
68,552,27998,0.375,187.64721165237077,58.125
69,560,28637,0.625,164.14777444170898,79.875
70,568,29038,0.25,203.89312789833934,50.125
71,576,29409,0.25,190.66279417328155,46.375
72,584,29837,0.375,188.7598307328302,53.5
